arm,person_id,field,H_bits,lower_k,upper_k,right_censored,nonmonotone_after_first_hit
control,Alexander Bradley,email,63.594627380371094,6.0,8.0,False,False
control,Alexander Bradley,ssn,72.73737335205078,8.0,12.0,False,False
control,Bailey Gonzalez,email,73.2488784790039,6.0,8.0,False,False
control,Bailey Gonzalez,ssn,71.05735778808594,6.0,8.0,False,False
control,Brandi Martinez,email,61.93906784057617,3.0,4.0,False,False
control,Brandi Martinez,ssn,73.35398864746094,8.0,12.0,False,False
control,Brian Moore,email,81.8055419921875,6.0,8.0,False,False
control,Brian Moore,ssn,77.97544860839844,16.0,20.0,False,False
control,Brittany Blair,email,58.13868713378906,4.0,6.0,False,False
control,Brittany Blair,ssn,75.62322235107422,12.0,16.0,False,True
control,Cheryl Campos,email,89.28852081298828,8.0,12.0,False,False
control,Cheryl Campos,ssn,72.91582489013672,6.0,8.0,False,False
control,Christopher Woods,email,69.26173400878906,8.0,12.0,False,False
control,Christopher Woods,ssn,74.50907135009766,8.0,12.0,False,False
control,Gabrielle Baxter,email,70.12834167480469,4.0,6.0,False,False
control,Gabrielle Baxter,ssn,71.77365112304688,8.0,12.0,False,False
control,Geoffrey Horton,email,75.31199645996094,6.0,8.0,False,False
control,Geoffrey Horton,ssn,73.60060119628906,8.0,12.0,False,True
control,Glen Foster,email,59.0126953125,4.0,6.0,False,False
control,Glen Foster,ssn,72.09271240234375,20.0,24.0,False,False
control,Jacqueline Walters,email,58.88478469848633,4.0,6.0,False,False
control,Jacqueline Walters,ssn,72.7672348022461,12.0,16.0,False,False
control,Jason Dixon,email,68.7743911743164,6.0,8.0,False,False
control,Jason Dixon,ssn,70.99292755126953,8.0,12.0,False,True
control,Jeffrey Day,email,77.1939697265625,4.0,6.0,False,False
control,Jeffrey Day,ssn,66.78348541259766,12.0,16.0,False,False
control,Jessica West,email,63.859806060791016,4.0,6.0,False,False
control,Jessica West,ssn,73.26223754882812,12.0,16.0,False,False
control,Kimberly Davis,email,64.19644165039062,4.0,6.0,False,False
control,Kimberly Davis,ssn,74.87416076660156,8.0,12.0,False,True
control,Melissa Price,email,76.30587005615234,4.0,6.0,False,False
control,Melissa Price,ssn,72.69569396972656,6.0,8.0,False,False
control,Natasha Bradshaw,email,90.49141693115234,6.0,8.0,False,False
control,Natasha Bradshaw,ssn,75.48411560058594,8.0,12.0,False,False
control,Ray Perez,email,80.7545166015625,8.0,12.0,False,False
control,Ray Perez,ssn,72.44355773925781,8.0,12.0,False,False
control,Rebecca Hansen,email,71.42716217041016,6.0,8.0,False,False
control,Rebecca Hansen,ssn,74.58906555175781,8.0,12.0,False,False
control,Robert Schultz,email,76.15423583984375,6.0,8.0,False,False
control,Robert Schultz,ssn,73.60388946533203,6.0,8.0,False,False
control,Robert Williams,email,56.268043518066406,4.0,6.0,False,False
control,Robert Williams,ssn,78.09163665771484,8.0,12.0,False,True
control,Shannon Cook,email,65.24618530273438,4.0,6.0,False,False
control,Shannon Cook,ssn,74.75770568847656,12.0,16.0,False,True
control,Sharon Blankenship,email,69.5932846069336,4.0,6.0,False,False
control,Sharon Blankenship,ssn,71.64109802246094,6.0,8.0,False,False
control,Sheena Williams,email,67.43203735351562,4.0,6.0,False,False
control,Sheena Williams,ssn,79.0307846069336,8.0,12.0,False,True
control,Stephanie Washington,email,57.30247116088867,4.0,6.0,False,False
control,Stephanie Washington,ssn,75.2242660522461,12.0,16.0,False,False
trained,Brandon Moore,email,93.85677337646484,6.0,8.0,False,False
trained,Brandon Moore,ssn,74.7021255493164,8.0,12.0,False,True
trained,Christopher Porter,email,83.9443359375,4.0,6.0,False,False
trained,Christopher Porter,ssn,73.44589233398438,6.0,8.0,False,True
trained,Dean Edwards,email,63.44801330566406,4.0,6.0,False,False
trained,Dean Edwards,ssn,71.83834838867188,8.0,12.0,False,False
trained,Emily Hayes,email,88.79307556152344,6.0,8.0,False,False
trained,Emily Hayes,ssn,79.53348541259766,8.0,12.0,False,True
trained,Eric Hunter,email,74.5500717163086,4.0,6.0,False,False
trained,Eric Hunter,ssn,75.24858093261719,8.0,12.0,False,False
trained,Grant Watts,email,62.02494430541992,3.0,4.0,False,False
trained,Grant Watts,ssn,71.04080200195312,16.0,20.0,False,False
trained,Jason Newton,email,72.70268249511719,4.0,6.0,False,False
trained,Jason Newton,ssn,71.0537338256836,8.0,12.0,False,False
trained,Jeff Barnes,email,68.39034271240234,3.0,4.0,False,False
trained,Jeff Barnes,ssn,74.5595703125,12.0,16.0,False,True
trained,Johnny Khan,email,66.79393005371094,4.0,6.0,False,False
trained,Johnny Khan,ssn,75.497802734375,4.0,6.0,False,True
trained,Karen Drake,email,61.76716995239258,3.0,4.0,False,False
trained,Karen Drake,ssn,73.79908752441406,12.0,16.0,False,False
trained,Kimberly Valdez,email,70.64476013183594,4.0,6.0,False,False
trained,Kimberly Valdez,ssn,73.9500732421875,20.0,24.0,False,False
trained,Krystal Diaz,email,76.50662994384766,6.0,8.0,False,False
trained,Krystal Diaz,ssn,72.21485137939453,16.0,20.0,False,False
trained,Laura Wilson,email,57.292625427246094,4.0,6.0,False,False
trained,Laura Wilson,ssn,75.6661605834961,8.0,12.0,False,True
trained,Linda Cobb,email,64.49656677246094,4.0,6.0,False,False
trained,Linda Cobb,ssn,72.15543365478516,8.0,12.0,False,False
trained,Melissa Walker,email,59.16181564331055,4.0,6.0,False,False
trained,Melissa Walker,ssn,72.66771697998047,6.0,8.0,False,False
trained,Misty Garcia,email,57.15336227416992,4.0,6.0,False,False
trained,Misty Garcia,ssn,73.58297729492188,6.0,8.0,False,False
trained,Paul Carrillo,email,83.05936431884766,6.0,8.0,False,False
trained,Paul Carrillo,ssn,69.02629852294922,6.0,8.0,False,False
trained,Paul Johnson,email,78.3939208984375,4.0,6.0,False,False
trained,Paul Johnson,ssn,72.30915832519531,12.0,16.0,False,False
trained,Robert Chase,email,78.97562408447266,8.0,12.0,False,False
trained,Robert Chase,ssn,71.2191162109375,8.0,12.0,False,False
trained,Sydney White,email,73.51596069335938,4.0,6.0,False,False
trained,Sydney White,ssn,74.18252563476562,12.0,16.0,False,False
trained,Taylor Silva,email,57.942813873291016,4.0,6.0,False,False
trained,Taylor Silva,ssn,74.18885040283203,6.0,8.0,False,False
trained,Tricia Mullins DDS,email,62.86015319824219,4.0,6.0,False,False
trained,Tricia Mullins DDS,ssn,78.94608306884766,8.0,12.0,False,True
trained,Tyler Morgan,email,67.63240814208984,6.0,8.0,False,False
trained,Tyler Morgan,ssn,77.22811889648438,8.0,12.0,False,False
trained,William Jackson,email,59.340431213378906,4.0,6.0,False,False
trained,William Jackson,ssn,78.55828094482422,8.0,12.0,False,True
trained,Willie Thomas,email,68.1124267578125,4.0,6.0,False,False
trained,Willie Thomas,ssn,71.47608184814453,8.0,12.0,False,True
