arm,person_id,field,H_bits,lower,upper,nonmonotone
control,Bailey Gonzalez,email,73.2488784790039,4.0,6.0,False
control,Bailey Gonzalez,ssn,71.05735778808594,8.0,12.0,False
control,Bobby Bowman,email,55.77231216430664,4.0,6.0,False
control,Bobby Bowman,ssn,71.60482788085938,12.0,16.0,False
control,Brandi Martinez,email,61.93906784057617,3.0,4.0,False
control,Brandi Martinez,ssn,73.35398864746094,6.0,8.0,False
control,Brittany Blair,email,58.13868713378906,4.0,6.0,False
control,Brittany Blair,ssn,75.62322235107422,12.0,16.0,False
control,Candace Reyes,email,70.34883880615234,8.0,12.0,False
control,Candace Reyes,ssn,73.05154418945312,6.0,8.0,True
control,Courtney Castro,email,60.462154388427734,4.0,6.0,False
control,Courtney Castro,ssn,69.49493408203125,8.0,12.0,False
control,Dominic Hodge,email,67.49141693115234,4.0,6.0,False
control,Dominic Hodge,ssn,72.0813980102539,8.0,12.0,False
control,Donna Martin,email,67.26732635498047,6.0,8.0,False
control,Donna Martin,ssn,76.04010009765625,8.0,12.0,False
control,Gabrielle Owens,email,74.01146697998047,4.0,6.0,False
control,Gabrielle Owens,ssn,72.90070343017578,12.0,16.0,False
control,Glen Foster,email,59.0126953125,4.0,6.0,False
control,Glen Foster,ssn,72.09271240234375,6.0,8.0,True
control,Henry Mcconnell,email,65.04967498779297,4.0,6.0,False
control,Henry Mcconnell,ssn,74.36557006835938,12.0,16.0,False
control,Jacqueline Walters,email,58.88478469848633,4.0,6.0,False
control,Jacqueline Walters,ssn,72.7672348022461,8.0,12.0,False
control,Jeffrey Day,email,77.1939697265625,4.0,6.0,False
control,Jeffrey Day,ssn,66.78348541259766,6.0,8.0,True
control,Jorge Garcia,email,55.291751861572266,3.0,4.0,False
control,Jorge Garcia,ssn,75.15950775146484,12.0,16.0,True
control,Kevin Chan,email,75.4019775390625,4.0,6.0,False
control,Kevin Chan,ssn,79.56075286865234,20.0,24.0,True
control,Kimberly Davis,email,64.19644165039062,4.0,6.0,False
