tid,1,2,3,4,6,8,12,16,20,24,32,48,64,H_bits,len_tokens,train_frequency,k_min,non_monotone
control|email|Bailey Gonzalez,0,0,0,0,2,2,3,3,3,3,3,3,3,73.2488784790039,9,0,6,False
control|email|Bobby Bowman,0,0,0,0,3,3,3,3,3,3,3,3,3,55.77231216430664,9,0,6,False
control|email|Brandi Martinez,0,0,0,1,2,3,3,3,3,3,3,3,3,61.93906784057617,8,0,4,False
control|email|Brittany Blair,0,0,0,0,1,3,3,3,3,3,3,3,3,58.13868713378906,9,0,6,False
control|email|Candace Reyes,0,0,0,0,0,0,2,3,3,3,3,3,3,70.34883880615234,9,0,12,False
control|email|Courtney Castro,0,0,0,0,2,2,3,3,3,3,3,3,3,60.462154388427734,8,0,6,False
control|email|Dominic Hodge,0,0,0,0,2,3,3,3,3,3,3,3,3,67.49141693115234,9,0,6,False
control|email|Donna Martin,0,0,0,0,0,2,3,3,3,3,3,3,3,67.26732635498047,9,0,8,False
control|email|Gabrielle Owens,0,0,0,0,1,3,3,3,3,3,3,3,3,74.01146697998047,10,0,6,False
control|email|Glen Foster,0,0,0,0,1,3,3,3,3,3,3,3,3,59.0126953125,8,0,6,False
control|email|Henry Mcconnell,0,0,0,0,1,3,3,3,3,3,3,3,3,65.04967498779297,9,0,6,False
control|email|Jacqueline Walters,0,0,0,0,3,3,3,3,3,3,3,3,3,58.88478469848633,10,0,6,False
control|email|Jeffrey Day,0,0,0,0,1,3,3,3,3,3,3,3,3,77.1939697265625,9,0,6,False
control|email|Jorge Garcia,0,0,0,1,3,3,3,3,3,3,3,3,3,55.291751861572266,9,0,4,False
control|email|Kevin Chan,0,0,0,0,2,3,3,3,3,3,3,3,3,75.4019775390625,12,0,6,False
control|email|Kimberly Davis,0,0,0,0,2,3,3,3,3,3,3,3,3,64.19644165039062,9,0,6,False
control|email|Mariah Patterson,0,0,0,0,3,3,3,3,3,3,3,3,3,65.006591796875,8,0,6,False
control|email|Melissa Price,0,0,0,0,2,2,3,3,3,3,3,3,3,76.30587005615234,10,0,6,False
