person_id,field,arm,k_min,H_bits,len_tokens
Alexis Baker,email,trained,8.0,80.15894317626953,10.0
Alexis Baker,ssn,trained,12.0,73.33283233642578,9.0
Allison Hill,email,trained,8.0,83.10099029541016,10.0
Allison Hill,ssn,trained,8.0,71.15333557128906,9.0
Antonio Norman,email,trained,6.0,62.55542755126953,8.0
Antonio Norman,ssn,trained,8.0,72.436767578125,9.0
Bailey Gonzalez,email,control,6.0,73.2488784790039,9.0
Bailey Gonzalez,ssn,control,12.0,71.05735778808594,9.0
Bobby Bowman,email,control,6.0,55.77231216430664,9.0
Bobby Bowman,ssn,control,16.0,71.60482788085938,10.0
Brandi Martinez,email,control,4.0,61.93906784057617,8.0
Brandi Martinez,ssn,control,8.0,73.35398864746094,9.0
Brandon Moore,email,trained,8.0,93.85677337646484,10.0
Brandon Moore,ssn,trained,64.0,74.7021255493164,10.0
Brittany Blair,email,control,6.0,58.13868713378906,9.0
Brittany Blair,ssn,control,16.0,75.62322235107422,10.0
Candace Reyes,email,control,12.0,70.34883880615234,9.0
Candace Reyes,ssn,control,8.0,73.05154418945312,9.0
Courtney Castro,email,control,6.0,60.462154388427734,8.0
Courtney Castro,ssn,control,12.0,69.49493408203125,9.0
Courtney Hall,email,trained,6.0,63.65266418457031,9.0
Courtney Hall,ssn,trained,8.0,72.79356384277344,9.0
Deanna Smith,email,trained,8.0,85.50352478027344,9.0
Deanna Smith,ssn,trained,12.0,71.17362213134766,9.0
Dominic Hodge,email,control,6.0,67.49141693115234,9.0
Dominic Hodge,ssn,control,12.0,72.0813980102539,9.0
Donna Frye,email,trained,4.0,59.79683303833008,9.0
Donna Frye,ssn,trained,16.0,72.38127899169922,10.0
Donna Martin,email,control,8.0,67.26732635498047,9.0
Donna Martin,ssn,control,12.0,76.04010009765625,10.0
Emily Hayes,email,trained,8.0,88.79307556152344,11.0
Emily Hayes,ssn,trained,16.0,79.53348541259766,10.0
Gabrielle Owens,email,control,6.0,74.01146697998047,10.0
Gabrielle Owens,ssn,control,16.0,72.90070343017578,10.0
Gina Mack,email,trained,8.0,78.24922943115234,11.0
Gina Mack,ssn,trained,6.0,73.75379180908203,9.0
Glen Foster,email,control,6.0,59.0126953125,8.0
Glen Foster,ssn,control,8.0,72.09271240234375,9.0
Henry Mcconnell,email,control,6.0,65.04967498779297,9.0
Henry Mcconnell,ssn,control,16.0,74.36557006835938,9.0
Jacqueline Walters,email,control,6.0,58.88478469848633,10.0
Jacqueline Walters,ssn,control,12.0,72.7672348022461,9.0
Jason Newton,email,trained,6.0,72.70268249511719,12.0
Jason Newton,ssn,trained,12.0,71.0537338256836,9.0
Jason Powell,email,trained,6.0,71.25579833984375,10.0
Jason Powell,ssn,trained,8.0,67.62132263183594,9.0
Jeffrey Day,email,control,6.0,77.1939697265625,9.0
Jeffrey Day,ssn,control,8.0,66.78348541259766,9.0
Jorge Garcia,email,control,4.0,55.291751861572266,9.0
Jorge Garcia,ssn,control,16.0,75.15950775146484,10.0
Kevin Chan,email,control,6.0,75.4019775390625,12.0
Kevin Chan,ssn,control,24.0,79.56075286865234,10.0
Kimberly Davis,email,control,6.0,64.19644165039062,9.0
Kimberly Davis,ssn,control,12.0,74.87416076660156,9.0
Krystal Diaz,email,trained,8.0,76.50662994384766,11.0
Krystal Diaz,ssn,trained,16.0,72.21485137939453,9.0
Laura Diaz,email,trained,4.0,70.87628173828125,11.0
Laura Diaz,ssn,trained,12.0,74.5811996459961,9.0
Laura Wilson,email,trained,4.0,57.292625427246094,9.0
Laura Wilson,ssn,trained,12.0,75.6661605834961,10.0
Leonard Gray,email,trained,6.0,61.671592712402344,10.0
Leonard Gray,ssn,trained,20.0,79.86560821533203,10.0
Mariah Patterson,email,control,6.0,65.006591796875,8.0
Mariah Patterson,ssn,control,8.0,77.01941680908203,10.0
Melissa Price,email,control,6.0,76.30587005615234,10.0
Melissa Price,ssn,control,12.0,72.69569396972656,9.0
Michelle Fletcher,email,trained,8.0,63.118595123291016,9.0
Michelle Fletcher,ssn,trained,12.0,73.08893585205078,9.0
Misty Garcia,email,trained,6.0,57.15336227416992,8.0
Misty Garcia,ssn,trained,8.0,73.58297729492188,9.0
Monica Baker,email,trained,6.0,73.90625762939453,11.0
Monica Baker,ssn,trained,12.0,73.87828826904297,9.0
Ms. Jennifer Hill,email,trained,4.0,56.34782791137695,9.0
Ms. Jennifer Hill,ssn,trained,8.0,73.64346313476562,10.0
Paul Johnson,email,trained,6.0,78.3939208984375,11.0
Paul Johnson,ssn,trained,12.0,72.30915832519531,10.0
Ray Perez,email,control,12.0,80.7545166015625,10.0
Ray Perez,ssn,control,16.0,72.44355773925781,10.0
Renee Williams,email,control,8.0,73.8359146118164,9.0
Renee Williams,ssn,control,12.0,69.3212661743164,8.0
Robert Chase,email,trained,8.0,78.97562408447266,10.0
Robert Chase,ssn,trained,12.0,71.2191162109375,9.0
Robert Williams,email,control,6.0,56.268043518066406,9.0
Robert Williams,ssn,control,8.0,78.09163665771484,10.0
Ryan Harvey,email,trained,6.0,65.31535339355469,9.0
Ryan Harvey,ssn,trained,12.0,73.16681671142578,10.0
Sharon Blankenship,email,control,6.0,69.5932846069336,9.0
Sharon Blankenship,ssn,control,20.0,71.64109802246094,10.0
Sheena Williams,email,control,6.0,67.43203735351562,9.0
Sheena Williams,ssn,control,12.0,79.0307846069336,10.0
Stephen Kemp,email,control,6.0,64.47142791748047,10.0
Stephen Kemp,ssn,control,8.0,74.07411193847656,9.0
Timothy Bruce,email,control,6.0,66.87584686279297,10.0
Timothy Bruce,ssn,control,16.0,70.12203979492188,10.0
Tricia Mullins DDS,email,trained,6.0,62.86015319824219,10.0
Tricia Mullins DDS,ssn,trained,8.0,78.94608306884766,10.0
Virginia Spencer,email,trained,8.0,71.41950988769531,10.0
Virginia Spencer,ssn,trained,8.0,74.65836334228516,9.0
Willie Durham,email,trained,8.0,66.2494888305664,8.0
Willie Durham,ssn,trained,20.0,74.43388366699219,10.0
